"filename", "language", "JSON", "JavaScript", "Ini", "Properties", "MS SQL", "Shell Script", "Markdown", "PHP", "Ignore", "Docker", "TypeScript", "Skill", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\customer\resources\post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\ar\filament\customer\resources\post\pages\list-records.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\clusters\configurations\resources\category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 16, 111
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\clusters\configurations\resources\category\pages\manage-categories.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\clusters\configurations\resources\category\pages\view-blog.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\clusters\configurations\resources\tag.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 76
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\clusters\configurations\resources\tag\pages\manage-tags.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\resources\post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 27, 182
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\resources\post\pages\create-post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\resources\post\pages\edit-post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\resources\post\pages\list-posts.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\admin\resources\post\pages\view-post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\customer\resources\category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\customer\resources\category\pages\list-records.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\customer\resources\category\pages\view-category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\customer\resources\post.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\lang\en\filament\customer\resources\post\pages\list-records.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\views\filament\customer\resources\category\pages\list-records.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\views\filament\customer\resources\category\pages\view-record.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 17, 51
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\blogs\resources\views\filament\customer\resources\post\pages\list-records.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
